,Ticker,DateTime,Open,Close,Volume,High,Low
0,AAPL,2020-08-31,127.61,129.04,1629392,131.0,126.0
1,AAPL,2020-09-01,132.79,134.18,1164862,134.8,130.53
2,AAPL,2020-09-02,137.6,131.4,1538317,137.97,127.0
3,AAPL,2020-09-03,126.94,120.88,1882206,128.84,120.5
4,AAPL,2020-09-04,120.14,120.96,2589920,123.7,110.89
5,AAPL,2020-09-08,114.28,112.82,1777781,118.99,112.68
6,AAPL,2020-09-09,117.32,117.32,1339297,119.14,115.26
7,AAPL,2020-09-10,120.44,113.49,1449819,120.5,112.5
8,AAPL,2020-09-11,114.61,112.0,1465577,115.23,110.0
9,AAPL,2020-09-14,114.72,115.355,1078342,115.93,112.8
10,AAPL,2020-09-15,118.39,115.54,1494358,118.83,113.61
11,AAPL,2020-09-16,115.17,112.13,1191098,116.0,112.04
12,AAPL,2020-09-17,109.73,110.34,1387581,112.2,108.71
13,AAPL,2020-09-18,110.38,106.84,1821314,110.88,106.09
14,AAPL,2020-09-21,104.52,110.08,1587937,110.19,103.1
15,AAPL,2020-09-22,112.68,111.81,1519398,112.86,109.16
16,AAPL,2020-09-23,111.63,107.12,1171183,112.11,106.77
17,AAPL,2020-09-24,105.19,108.22,1381624,110.25,105.0
18,AAPL,2020-09-25,108.51,112.28,1231927,112.44,107.67
19,AAPL,2020-09-28,114.91,114.96,1118265,115.32,112.78
20,AAPL,2020-09-29,114.51,114.09,834379,115.31,113.57
21,AAPL,2020-09-30,113.63,115.81,1117890,117.26,113.62
22,AAPL,2020-10-01,117.7,116.79,919626,117.72,115.83
23,AAPL,2020-10-02,112.84,113.02,1155518,115.37,112.22
24,AAPL,2020-10-05,113.92,116.5,842286,116.65,113.55
25,AAPL,2020-10-06,115.68,113.16,1320675,116.12,112.25
26,AAPL,2020-10-07,114.65,115.08,783055,115.55,114.13
27,AAPL,2020-10-08,116.25,114.97,689080,116.4,114.59
28,AAPL,2020-10-09,115.23,116.97,811404,117.0,114.92
29,AAPL,2020-10-12,120.06,124.4,1955987,125.18,119.28
30,AAPL,2020-10-13,125.31,121.1,2196919,125.39,119.65
31,AAPL,2020-10-14,120.99,121.19,1284940,123.03,119.62
32,AAPL,2020-10-15,118.78,120.71,926456,121.2,118.15
33,AAPL,2020-10-16,121.25,119.02,917422,121.55,118.81
34,AAPL,2020-10-19,119.96,115.98,1001106,120.42,115.66
35,AAPL,2020-10-20,116.21,117.51,1037159,118.98,115.63
36,AAPL,2020-10-21,116.59,116.87,735832,118.71,116.45
37,AAPL,2020-10-22,117.43,115.75,853129,118.04,114.83
38,AAPL,2020-10-23,116.36,115.04,679614,116.55,114.28
39,AAPL,2020-10-26,114.03,115.05,903440,116.55,112.88
40,AAPL,2020-10-27,115.5,116.6,760050,117.28,114.53
41,AAPL,2020-10-28,115.04,111.2,1069633,115.43,111.1
42,AAPL,2020-10-29,112.36,115.32,1022078,116.93,112.2
43,AAPL,2020-10-30,111.04,108.86,1487179,111.99,107.72
44,AAPL,2020-11-02,109.14,108.77,1002101,110.68,107.32
45,AAPL,2020-11-03,109.66,110.44,891848,111.49,108.73
46,AAPL,2020-11-04,114.09,114.95,1101039,115.59,112.35
47,AAPL,2020-11-05,117.93,119.03,1005815,119.62,116.86
48,AAPL,2020-11-06,118.3,118.69,837424,119.2,116.13
49,AAPL,2020-11-09,120.5,116.32,1160016,121.99,116.05
50,AAPL,2020-11-10,115.56,115.97,1079265,117.59,114.13
51,AAPL,2020-11-11,117.19,119.49,831013,119.63,116.44
52,AAPL,2020-11-12,119.71,119.21,872069,120.53,118.57
53,AAPL,2020-11-13,119.45,119.26,645062,119.68,117.87
54,AAPL,2020-11-16,118.88,120.3,694385,120.99,118.14
55,AAPL,2020-11-17,119.53,119.39,575941,120.68,118.96
56,AAPL,2020-11-18,118.61,118.03,572897,119.82,118.0
57,AAPL,2020-11-19,117.67,118.64,579058,119.06,116.81
58,AAPL,2020-11-20,118.64,117.34,558826,118.77,117.29
59,AAPL,2020-11-23,117.19,113.85,1014171,117.63,113.75
60,AAPL,2020-11-24,113.91,115.17,910876,115.85,112.59
61,AAPL,2020-11-25,115.54,116.03,610314,116.75,115.17
62,AAPL,2020-11-27,116.57,116.59,381739,117.49,116.22
63,AAPL,2020-11-30,116.94,119.05,1141610,120.97,116.81
64,AAPL,2020-12-01,121.03,122.72,999805,123.47,120.01
65,AAPL,2020-12-02,122.03,123.08,671595,123.37,120.89
66,AAPL,2020-12-03,123.52,122.94,602816,123.78,122.21
67,AAPL,2020-12-04,122.55,122.25,568473,122.87,121.52
68,AAPL,2020-12-07,122.38,123.75,648764,124.57,122.22
69,AAPL,2020-12-08,124.37,124.38,622109,124.98,123.09
70,AAPL,2020-12-09,124.51,121.78,864846,125.95,121.0
71,AAPL,2020-12-10,120.48,123.24,621504,123.87,120.15
72,AAPL,2020-12-11,122.49,122.41,646562,122.76,120.55
73,AAPL,2020-12-14,122.58,121.78,526441,123.35,121.54
74,AAPL,2020-12-15,124.42,127.88,1207939,127.9,124.13
75,AAPL,2020-12-16,127.38,127.81,728583,128.37,126.56
76,AAPL,2020-12-17,128.91,128.7,650842,129.58,128.04
77,AAPL,2020-12-18,128.93,126.655,951375,129.1,126.12
78,AAPL,2020-12-21,125.04,128.23,873991,128.31,123.44
79,AAPL,2020-12-22,131.59,131.88,1390184,134.41,129.65
80,AAPL,2020-12-23,132.14,130.96,655247,132.43,130.78
81,AAPL,2020-12-24,131.33,131.97,458572,133.46,131.1
82,AAPL,2020-12-28,133.99,136.69,1010453,137.34,133.51
83,AAPL,2020-12-29,138.07,134.87,1003502,138.79,134.34
84,AAPL,2020-12-30,135.54,133.72,769924,135.99,133.4
85,AAPL,2020-12-31,134.04,132.69,748429,134.74,131.72
86,AAPL,2021-01-04,133.52,129.41,1006555,133.62,126.8
87,AAPL,2021-01-05,128.88,131.01,722584,131.74,128.43
88,AAPL,2021-01-06,127.72,126.6,1215915,131.05,126.38
89,AAPL,2021-01-07,128.4,130.92,843085,131.63,127.86
90,AAPL,2021-01-08,132.43,132.05,814048,132.63,130.23
91,AAPL,2021-01-11,129.16,128.98,729223,130.17,128.5
92,AAPL,2021-01-12,128.52,128.8,719255,129.69,126.86
93,AAPL,2021-01-13,128.69,130.89,691943,131.45,128.49
94,AAPL,2021-01-14,130.8,128.91,667261,131.0,128.76
95,AAPL,2021-01-15,128.68,127.14,770162,130.23,127.0
96,AAPL,2021-01-19,127.72,127.83,609678,128.71,126.93
97,AAPL,2021-01-20,128.59,132.03,768749,132.49,128.55
98,AAPL,2021-01-21,133.84,136.87,916987,139.67,133.59
99,AAPL,2021-01-22,136.3,139.07,895298,139.85,135.02
